source,brand,model,year,price,city,mileage_km,mileage_missing,body_type,engine_volume_l,fuel_type,transmission,drive_type,steering_wheel,color,condition,car_age,is_new
cars_ml,ВАЗ,(Lada) Granta 2194,2018,4500000,Усть-Каменогорск,150000,0,hatchback,1.6,petrol,manual,fwd,left,unknown,used,8,0
cars_ml,Toyota,Corolla,2023,13500000,Астана,20000,0,sedan,1.6,petrol,variator,fwd,left,unknown,used,3,0
cars_ml,Toyota,Camry,2002,4300000,Алматы,250000,0,sedan,2.4,petrol,automatic,fwd,left,золотистый,used,24,0
cars_ml,ВАЗ,(Lada) Largus,2021,5500000,Караганда,108000,0,wagon,1.6,petrol,manual,fwd,left,белый,used,5,0
cars_ml,ГАЗ,ГАЗель NEXT A32R23,2026,16206000,Усть-Каменогорск,-1,1,van,2.7,petrol,manual,rwd,left,unknown,unknown,0,0
cars_ml,Haval,M6 Comfort 1.5T MT,2025,7453800,Алматы,-1,1,crossover,1.5,petrol,robot,fwd,left,белый,unknown,1,0
cars_ml,ГАЗ,Соболь 23107,2026,11435000,Атырау,-1,1,pickup,2.7,petrol,manual,awd,left,unknown,unknown,0,0
cars_ml,Chevrolet,Cobalt Optimum AT,2025,5790000,Атырау,-1,1,sedan,1.5,petrol,automatic,fwd,left,unknown,unknown,1,0
cars_ml,ГАЗ,ГАЗель NEXT A31R23,2026,15797000,Атырау,-1,1,van,2.7,petrol,manual,rwd,left,unknown,unknown,0,0
cars_ml,ГАЗ,ГАЗель 33027,2026,10899000,Кокшетау,-1,1,pickup,2.7,petrol,manual,awd,left,unknown,unknown,0,0
cars_ml,ГАЗ,ГАЗель NEXT A65R33,2026,17769000,Кокшетау,-1,1,minibus,2.7,petrol,manual,rwd,left,unknown,unknown,0,0
cars_ml,ГАЗ,ГАЗель NEXT A21R23,2026,12500000,Кокшетау,-1,1,pickup,2.7,petrol,manual,rwd,left,unknown,unknown,0,0
cars_ml,Chevrolet,Cobalt Elegant AT,2025,6290000,Кокшетау,11,0,sedan,1.5,petrol,automatic,fwd,left,черный металлик,used,1,0
cars_ml,Daewoo,Nexia,2013,1400000,Шымкент,-1,1,sedan,1.6,petrol,manual,fwd,left,unknown,unknown,13,0
cars_ml,Volkswagen,Tiguan,2018,10500000,Алматы,120000,0,crossover,1.4,petrol,robot,fwd,left,белый,used,8,0
cars_ml,Tesla,Model Y,2021,16500000,Алматы,37000,0,crossover,-1,электрический,automatic,rwd,left,unknown,used,5,0
cars_ml,ВАЗ,(Lada) Vesta,2020,4650000,Караганда,112000,0,sedan,1.6,petrol,manual,fwd,left,коричневый металлик,used,6,0
cars_ml,Mazda,6,2010,4150000,Алматы,-1,1,sedan,2.0,petrol,automatic,fwd,left,unknown,unknown,16,0
cars_ml,Toyota,Avensis,2005,5000000,Шымкент,298000,0,wagon,2.0,diesel,manual,fwd,left,серый,used,21,0
cars_ml,Toyota,Camry,2006,5800000,Алматы,-1,1,sedan,3.5,petrol,automatic,fwd,left,серебристый металлик,unknown,20,0
cars_ml,Volkswagen,Passat,2003,3190000,Алматы,-1,1,sedan,1.8,petrol,automatic,fwd,left,серебристый,unknown,23,0
cars_ml,Skoda,Rapid,2014,5000000,Павлодар,147000,0,liftback,1.6,petrol,manual,fwd,left,черный,used,12,0
cars_ml,Subaru,Legacy,1996,2500000,Алматы,250000,0,wagon,2.5,petrol,automatic,awd,right,unknown,used,30,0
cars_ml,Lynk,& Co 900,2025,33000000,Астана,-1,1,crossover,2.0,hybrid,automatic,awd,left,unknown,unknown,1,0
cars_ml,Hyundai,Mufasa,2025,11000000,Павлодар,58000,0,crossover,2.0,petrol,automatic,fwd,left,unknown,used,1,0
cars_ml,Kia,Cerato Comfort,2022,9800000,Шымкент,80665,0,sedan,2.0,petrol,automatic,fwd,left,черный металлик,used,4,0
cars_ml,Kia,K7,2012,7900000,Алматы,180000,0,sedan,3.0,petrol,automatic,fwd,left,белый металлик,used,14,0
cars_ml,Mercedes-Benz,E 200,2012,7800000,Астана,270000,0,sedan,1.8,petrol,automatic,rwd,left,unknown,used,14,0
cars_ml,Toyota,Highlander,2017,17000000,Туркестан,134000,0,crossover,3.5,petrol,automatic,awd,left,unknown,used,9,0
cars_ml,Dodge,RAM,2021,25500000,Алматы,149000,0,pickup,3.0,diesel,automatic,awd,left,unknown,used,5,0
cars_ml,BMW,540,2017,22300000,Алматы,103000,0,sedan,3.0,petrol,automatic,awd,left,unknown,used,9,0
cars_ml,Mitsubishi,Delica D:5,2009,7950000,Астана,150000,0,микровэн,2.4,petrol,variator,awd,right,белый,used,17,0
cars_ml,BMW,530,2021,24500000,Алматы,83400,0,sedan,2.0,petrol,automatic,awd,left,бордовый металлик,used,5,0
cars_ml,Toyota,Camry,2018,13800000,Семей,136000,0,sedan,2.5,petrol,automatic,fwd,left,серебристый металлик,used,8,0
cars_ml,Mercedes-Benz,AMG GT,2015,55000000,Астана,65000,0,coupe,4.0,petrol,robot,rwd,left,unknown,used,11,0
cars_ml,Chevrolet,Monza,2023,6200000,Алматы,41000,0,sedan,1.5,petrol,robot,fwd,left,unknown,used,3,0
cars_ml,Zeekr,9X,2025,57500000,Астана,-1,1,crossover,2.0,petrol,automatic,awd,left,unknown,unknown,1,0
cars_ml,Genesis,GV70 2.5T,2025,37010391,Алматы,-1,1,crossover,2.5,petrol,automatic,awd,left,синий металлик,unknown,1,0
cars_ml,Chevrolet,Captiva Premier,2025,12690000,Кокшетау,5,0,suv,1.5,petrol,variator,fwd,left,черный,used,1,0
cars_ml,Hyundai,Sonata,2023,11900000,Алматы,110000,0,sedan,2.5,petrol,automatic,fwd,left,черный металлик,used,3,0
cars_ml,Chevrolet,Onix Premier 2,2025,7290000,Актау,10,0,sedan,1.2,petrol,automatic,fwd,left,бирюзовый металлик,used,1,0
cars_ml,ГАЗ,ГАЗель NEXT A22R33,2026,13372000,Кокшетау,-1,1,pickup,2.7,petrol,manual,rwd,left,unknown,unknown,0,0
cars_ml,Chevrolet,Tracker Premier,2025,10740000,Актау,-1,1,crossover,1.2,petrol,automatic,fwd,left,unknown,unknown,1,0
cars_ml,Chevrolet,Captiva Premier,2025,12690000,Актау,13,0,suv,1.5,petrol,variator,fwd,left,черный,used,1,0
cars_ml,Chevrolet,Cobalt Elegant AT,2025,6290000,Актау,13,0,sedan,1.5,petrol,automatic,fwd,left,белый,used,1,0
cars_ml,Hyundai,Porter,2024,14500000,Алматы,38000,0,pickup,2.5,gas,manual,rwd,left,белый,used,2,0
cars_ml,Hyundai,Santa Fe,2023,23100000,Алматы,50000,0,crossover,2.5,petrol,robot,awd,left,unknown,used,3,0
cars_ml,Deepal,S07,2025,13000000,Алматы,-1,1,crossover,1.5,hybrid,automatic,rwd,left,белый,unknown,1,0
cars_ml,Hyundai,Grandeur,2011,8700000,Шымкент,196000,0,sedan,3.0,petrol,automatic,fwd,left,черный,used,15,0
cars_ml,Changan,UNI-K Tech,2026,15590000,Шымкент,-1,1,crossover,2.0,petrol,automatic,awd,left,серый металлик,unknown,0,0
cars_ml,Subaru,Outback,2012,4400000,Актобе,241350,0,wagon,2.5,petrol,variator,awd,left,зеленый,used,14,0
cars_ml,ВАЗ,(Lada) Granta 2190,2013,1300000,Астана,460542,0,sedan,1.6,petrol,manual,fwd,left,белый,used,13,0
cars_ml,Hyundai,Accent,2015,5200000,Астана,-1,1,sedan,1.6,petrol,automatic,fwd,left,unknown,unknown,11,0
cars_ml,Mercedes-Benz,E 200,1996,2400000,Семей,-1,1,sedan,2.0,petrol,manual,rwd,left,unknown,unknown,30,0
cars_ml,Land,Rover Range Rover,2021,50000000,Алматы,95000,0,suv,5.0,petrol,automatic,awd,left,серый,used,5,0
cars_ml,JAC,J7,2023,7100000,Костанай,45000,0,liftback,1.5,petrol,variator,fwd,left,черный металлик,used,3,0
